FID IID trait1
F2 I2 1.62241679697593
F3 I3 -0.678463174107855
F4 I4 0.378897336048649
F5 I5 -0.452911275839158
F7 I7 -0.55110081823267
F8 I8 2.20360072000312
F10 I10 3.2536347318128
F11 I11 0.0734377344854385
F12 I12 1.11625847390959
F13 I13 0.470944248216007
F15 I15 1.10551825024404
F16 I16 0.445081542062907
F17 I17 0.107616783767068
F19 I19 0.450515683801276
F20 I20 1.16822834497128
F21 I21 -0.363947885456741
F22 I22 3.44411954903774
F23 I23 -0.237395107527717
F24 I24 -0.66644308476238
F25 I25 3.86257327682354
F26 I26 -0.40310229160639
F27 I27 2.13469995130154
F28 I28 -0.148939441685568
F29 I29 1.52297216709366
F30 I30 -0.772201986090971
F31 I31 0.460149330062428
F32 I32 -0.346514436465404
F33 I33 0.460535793526247
F35 I35 0.488618589768174
F36 I36 1.67893383216975
F37 I37 -0.0946735244043553
F38 I38 1.14921833134296
F39 I39 5.44150087367499
F40 I40 0.673892997021473
F41 I41 -0.692579529511482
F42 I42 -0.631423789042918
F43 I43 1.76120193682104
F44 I44 -2.00646651199549
F45 I45 -0.878182787395933
F46 I46 0.971631050940847
F47 I47 -0.511674315671856
F48 I48 1.60548731520474
F49 I49 0.528864352947209
F50 I50 1.87848541177428
F52 I52 1.25321341278774
F53 I53 -0.0174919754111008
F54 I54 -0.533779559856219
F56 I56 -0.281980024269328
F57 I57 -0.775276357948524
F58 I58 -1.28073404112316
F59 I59 -0.1949043752116
F60 I60 1.23726801338975
F61 I61 0.614264831292758
F62 I62 -0.848905091421476
F63 I63 0.856614023727206
F64 I64 2.38141341141795
F65 I65 2.53545656165165
F66 I66 3.6853956318145
F67 I67 -1.70320775889545
F68 I68 0.360940047831186
F70 I70 0.369036541097853
F72 I72 -0.094240060002674
F73 I73 0.901761644572769
F75 I75 1.3018437924575
F76 I76 0.765560369341987
F78 I78 0.583353699618108
F79 I79 1.70565189060322
F80 I80 -0.519633127669589
F81 I81 0.633915776409237
F82 I82 4.06217693146806
F83 I83 0.10951194780417
F84 I84 -0.227246241112884
F85 I85 -0.200015582969291
F86 I86 0.0211623562171134
F87 I87 0.84529408472323
F88 I88 0.879780347227465
F89 I89 -2.61656259176898
F90 I90 -0.182919376141976
F91 I91 0.325181931870176
F92 I92 1.63731699968339
F94 I94 -0.310420424989997
F95 I95 0.925904075161237
F97 I97 0.58627411218569
F98 I98 2.50835811035912
F99 I99 0.809918117938725
F100 I100 -0.975725724456335
F101 I101 -0.212444443467558
F102 I102 -0.147436119526012
F103 I103 0.207609927533079
F104 I104 0.159944256181687
F105 I105 -0.0685539119604354
F106 I106 0.171902137275936
F107 I107 -0.719348985333406
F108 I108 0.683341548234014
F109 I109 0.324239953778861
F110 I110 0.504207466446928
F112 I112 2.76875676083196
F113 I113 1.18213314180126
F114 I114 2.7750867440264
F115 I115 1.19751887325934
F116 I116 -0.655102028591294
F117 I117 2.51289237080596
F118 I118 2.66259799536952
F119 I119 0.0186982290793981
F120 I120 -0.0443352073045504
F121 I121 -1.3715388064804
F123 I123 0.0152115361501731
F124 I124 -0.996413326159072
F126 I126 0.256136137273031
F130 I130 0.239502063535077
F131 I131 -0.293846801863928
F132 I132 0.58633891667143
F133 I133 -0.584108706439803
F134 I134 0.579973215421682
F135 I135 -0.195133075473955
F136 I136 0.905402753849261
F137 I137 0.431637083307933
F138 I138 0.747423098886452
F139 I139 -0.297825432943587
F140 I140 -1.02678267639146
F141 I141 2.24054481979067
F145 I145 0.841416220966356
F146 I146 0.16072821214256
F147 I147 1.19791100199304
F148 I148 0.718454319097794
F149 I149 1.11924474641856
F150 I150 -1.11017295589087
F151 I151 0.0499319769087676
F152 I152 1.21263116933863
F153 I153 0.157939832495273
F154 I154 1.11051871399717
F155 I155 0.274370490289096
F157 I157 0.281072833202972
F158 I158 -0.572638741083522
F160 I160 -0.54558483452312
F162 I162 -0.0519496539676215
F163 I163 1.28618408894307
F164 I164 0.951102443780648
F165 I165 -0.714018188524952
F166 I166 0.336169656475206
F168 I168 -0.407841329259087
F169 I169 2.00769767659498
F171 I171 1.20570018860042
F172 I172 -0.127911371183063
F173 I173 1.47741630754655
F175 I175 -0.445164443693274
F176 I176 0.351515596608589
F177 I177 0.663301437709857
F178 I178 -1.06710969828115
F181 I181 0.677595970939936
F182 I182 2.11526761107037
F184 I184 0.145003112067806
F185 I185 -0.218114219654975
F189 I189 0.761465207275147
F190 I190 2.87848254316002
F191 I191 1.3478913380748
F192 I192 2.39888277478006
F193 I193 0.887755528773791
F194 I194 -0.495304575362205
F195 I195 -1.10020075519107
F196 I196 0.290861908159593
F197 I197 -0.12562638550561
F201 I201 0.0985429317549327
F204 I204 0.44708207033533
F205 I205 0.967685341995423
F207 I207 0.0314208372872306
F208 I208 0.79553398363401
F209 I209 -0.502079570040877
F210 I210 1.66743001452698
F211 I211 -0.174127083652556
F214 I214 -1.14136007506237
F216 I216 0.159414225027906
F217 I217 0.14928972584849
F218 I218 -0.608497663723062
F219 I219 -0.456542626384899
F220 I220 0.633554487484382
F221 I221 0.474301723280621
F222 I222 -0.7035843701237
F223 I223 0.86207854220777
F224 I224 -0.649899112475795
F225 I225 -0.496492356194057
F226 I226 1.68885089505235
F227 I227 1.24116054234527
F228 I228 -0.69750826251097
F229 I229 1.22644899849274
F230 I230 -0.798849321290554
F233 I233 3.04330878807924
F235 I235 -0.551518558431286
F236 I236 0.138985140946168
F238 I238 0.66572212603019
F239 I239 -0.0352487065552417
F240 I240 -0.284503502488836
F241 I241 1.28820738620071
F242 I242 -1.06227163851166
F243 I243 -0.467851440211509
F245 I245 0.261163514982427
F249 I249 -0.0778001979093584
F251 I251 0.740147329545044
F252 I252 0.449309112195208
F253 I253 0.785198988039736
F254 I254 -0.288997202228744
F255 I255 1.083188474678
F256 I256 -0.857316313584267
F259 I259 -0.364282304081229
F262 I262 1.73493031260451
F263 I263 2.69746362552242
F266 I266 0.624118913380505
F267 I267 -0.671649377273756
F268 I268 -0.821992872615807
F269 I269 -1.09563216238301
F270 I270 -0.312519317600327
F271 I271 0.156803878930517
F272 I272 3.49559125787158
F273 I273 1.63504576771356
F274 I274 0.0564852045806612
F275 I275 0.00957515163954314
F276 I276 2.39741887722786
F277 I277 -1.03960950721669
F278 I278 0.102510992182027
F279 I279 0.087742347208238
F280 I280 2.38849402751376
F281 I281 1.30648344630928
F282 I282 4.37864505297007
F283 I283 -1.22511584330872
F285 I285 0.469054775218609
F286 I286 7.04540503839625
F287 I287 1.08398008757538
F288 I288 -0.63152838726242
F289 I289 0.173458130728456
F290 I290 0.861795491304409
F291 I291 -1.79316701580719
F292 I292 0.843945555523767
F293 I293 -0.121086290326586
F296 I296 1.22764230501208
F297 I297 2.57563374476658
F298 I298 0.120806016673701
F299 I299 0.13402562321933
F300 I300 -0.574548344632358
F301 I301 -1.45569575542539
F304 I304 0.164211795613808
F306 I306 -0.58869623864313
F307 I307 0.081708417136945
F308 I308 1.81429527157096
F310 I310 -0.110119233754433
F311 I311 0.230496149068214
F312 I312 1.03868130536264
F313 I313 -0.183899369895971
F315 I315 -0.83645927103046
F316 I316 0.723265699476167
F317 I317 0.56427139463087
F318 I318 1.8665081733876
F320 I320 0.864525444934489
F321 I321 1.80156852625068
F322 I322 0.0341531470967354
F323 I323 -0.168864990539764
F324 I324 -0.188294323560202
F325 I325 1.01276840860155
F326 I326 0.0205524422459695
F327 I327 -0.174738453986943
F328 I328 0.263823720721147
F329 I329 0.616033746353463
F330 I330 -1.33601683356166
F331 I331 3.70547409247994
F332 I332 0.249883716649004
F333 I333 0.447263324078687
F334 I334 -0.709245804439671
F337 I337 0.27935876419082
F338 I338 2.4046366205682
F340 I340 0.27443415432199
F341 I341 0.343125469811142
F342 I342 1.29266341502829
F343 I343 0.580845194241782
F344 I344 1.29630295263988
F345 I345 0.976716596384448
F346 I346 -1.30598050961679
F347 I347 1.3934982051087
F348 I348 -0.955582892620718
F350 I350 1.71778957425135
F351 I351 0.493047181722768
F352 I352 0.797244483038692
F353 I353 1.4625376931371
F354 I354 -0.498574168821098
F356 I356 3.04786679082946
F357 I357 -0.783270030019454
F358 I358 -0.941294490541035
F359 I359 -0.421735893652758
F360 I360 -1.09240251114017
F361 I361 -1.42214871777197
F363 I363 3.04741868001855
F364 I364 -0.443518081910504
F365 I365 1.46321260795518
F366 I366 -0.23161233767247
F368 I368 0.468314824489567
F369 I369 0.335583082104892
F370 I370 -1.09562053047773
F371 I371 -0.530264092888518
F372 I372 -0.615974553089165
F373 I373 -0.533330984304748
F374 I374 -0.744841628372984
F375 I375 1.99374348916803
F376 I376 0.608224429438579
F377 I377 -0.372498393755017
F378 I378 -1.07128416384007
F379 I379 1.12364421052804
F380 I380 -0.473667238068947
F381 I381 0.519838839484689
F382 I382 -0.332960469449875
F383 I383 3.68309358280685
F384 I384 4.54314213363126
F385 I385 -0.437866171021668
F386 I386 0.303483901118645
F387 I387 0.217600542590082
F388 I388 1.60351059463684
F389 I389 0.67859073807952
F390 I390 -0.532711081848145
F391 I391 0.576828101487807
F392 I392 0.93965120746518
F393 I393 0.87644182995186
F394 I394 2.61826911106071
F395 I395 0.176246124585647
F396 I396 2.03497848314151
F398 I398 -0.385152162689396
F399 I399 0.564259034404626
F400 I400 1.24542104824915
F402 I402 1.67322371805329
F404 I404 0.830777100466574
F405 I405 -0.33885288622087
F406 I406 -0.601568314081607
F407 I407 0.663734205742698
F408 I408 0.200466893739701
F410 I410 -0.41247501218696
F411 I411 0.747615247836012
F412 I412 -0.21403547432064
F413 I413 0.975009288994932
F414 I414 1.34261624525348
F418 I418 1.17121709411263
F420 I420 0.536989665929739
F421 I421 1.01945562231693
F423 I423 0.909134491015855
F424 I424 1.12252204704022
F425 I425 -0.192683690213439
F426 I426 -0.204561768535214
F427 I427 -0.461431405704012
F428 I428 -0.154960817779463
F429 I429 -0.449089094283045
F430 I430 1.32254889953155
F431 I431 -1.50188451240301
F432 I432 -0.350177190907556
F433 I433 1.43190961828251
F434 I434 -0.750463282616549
F435 I435 -2.54470837089286
F436 I436 0.365984204498706
F437 I437 5.70885232205044
F438 I438 -0.0405793565295215
F439 I439 0.837076081740833
F440 I440 0.146500676700098
F441 I441 2.57473835625859
F443 I443 -0.159836549568808
F444 I444 1.67899462183431
F446 I446 -0.198985278328549
F447 I447 -1.62863077179643
F448 I448 0.177403630888151
F449 I449 -1.84183510368767
F450 I450 0.723787553191325
F451 I451 0.00716828774862471
F452 I452 1.6311322114397
F453 I453 -0.771201473294747
F454 I454 1.03187950728235
F455 I455 1.15354779751604
F457 I457 -0.331304504753573
F458 I458 3.05376466855283
F459 I459 -1.64948228730785
F460 I460 0.746609821022526
F461 I461 -0.325602021713607
F462 I462 0.484830372489563
F463 I463 0.56565743247721
F464 I464 -0.042457903767092
F465 I465 0.0553147795023143
F466 I466 -0.717090848348596
F467 I467 0.678106034981503
F468 I468 -0.174028038538539
F469 I469 1.15542487758512
F470 I470 0.571132948181302
F471 I471 1.5186313556501
F472 I472 -0.456624345919942
F473 I473 1.2295406777287
F474 I474 1.0570772077702
F475 I475 0.903509940155102
F477 I477 0.120892422163592
F478 I478 1.27452344344125
F479 I479 0.434058431346371
F480 I480 1.77551357402423
F481 I481 -1.24740340273738
F482 I482 0.017355696588307
F484 I484 0.671865488366387
F485 I485 0.440410137493165
F486 I486 -1.03267362720087
F487 I487 5.10904840026076
F488 I488 -0.595268452900047
F490 I490 1.85238832733149
F492 I492 -0.153372923476239
F493 I493 -0.608543752788524
F494 I494 2.1509131450204
F495 I495 -0.574860650655946
F496 I496 -0.975971622979531
F497 I497 -0.447974081795455
F498 I498 0.230210865406106
F499 I499 1.325306926894
F500 I500 -0.340204614320036
F501 I501 -0.230607118011211
F503 I503 0.104764689800561
F504 I504 0.572962438111924
F505 I505 -1.50433380414842
F506 I506 0.562086221824632
F507 I507 -0.939402516391413
F508 I508 -0.0592042252652654
F509 I509 0.391893069517408
F510 I510 0.901051781018581
F511 I511 -0.204873228473098
F512 I512 0.643692943448115
F513 I513 -0.425111638967789
F514 I514 -0.035903405687553
F516 I516 -3.78762007431517
F517 I517 0.0648824442847531
F519 I519 0.544049168673328
F520 I520 -0.691050709378097
F523 I523 6.8642622326774
F524 I524 1.02444179737942
F525 I525 -0.0759742899473257
F526 I526 1.71749047856757
F527 I527 2.33046840370026
F529 I529 0.450563903026441
F530 I530 0.979994597240326
F531 I531 -1.01196729836468
F532 I532 -0.140502149283051
F533 I533 -0.360796933480895
F535 I535 -0.429897914863017
